baggbrt_mean,baggbrt_std,ppov0_mean,ppov0_std,ppov1_mean,ppov1_std,sac_mean,sac_std
0.178533375,0.110336799,0.229521737,0.100952913,0.343419858,0.197539066,0.197385053,0.231547218
0.444538165,0.034557881,0.233995516,0.16781504,0.29146065,0.149630581,0.338217215,0.089234833
0.473959718,0.064803512,0.285990356,0.105398515,0.511481715,0.086291254,0.462204849,0.12688314
0.500016836,0.031683774,0.276431941,0.035180891,0.334307996,0.24947682,0.236464328,0.369071737
0.489570195,0.044259224,0.231643562,0.195686539,0.526017934,0.034650599,0.360627469,0.044541089
0.445582755,0.035387174,0.281531738,0.165103416,0.45204689,0.125172247,0.38648502,0.08255942
0.466485973,0.040217152,0.157279002,0.127282577,0.401872756,0.062568156,0.499003903,0.102721458
0.432018093,0.028466894,0.192882571,0.07096926,0.301762126,0.080920556,0.437688796,0.220876247
0.458507418,0.03566228,0.284599119,0.11824144,0.582543855,0.176432183,0.580906527,0.099619312
0.458507418,0.03566228,0.229038976,0.07654577,0.294077682,0.077948755,0.484462946,0.15485152
0.428344786,0.047603233,0.289928155,0.134330899,0.378497296,0.220738522,0.260166839,0.272467606
0.458507418,0.03566228,0.243669535,0.13041334,0.279850031,0.039183346,0.247877328,0.171783917
0.474266884,0.065734716,0.245384201,0.039137296,0.421229857,0.116437534,0.591951399,0.159308979
0.473461102,0.06547616,0.248544013,0.114858346,0.358846922,0.131957984,0.350158132,0.078330141
0.437254572,0.073776132,0.142052262,0.322931929,0.440052912,0.173897209,0.489860344,0.166691673
0.453363666,0.06543071,0.104562284,0.095612118,0.444385165,0.142891705,0.294711647,0.028166923
0.437254572,0.073776132,0.185368029,0.1446991,0.532381965,0.038559797,0.401002722,0.071644897
0.437254572,0.073776132,0.287871999,0.075687333,0.513888824,0.106130268,0.507052794,0.206663441
0.437254572,0.073776132,0.223663889,0.130889374,0.440731467,0.224257145,0.38894518,0.029607569
0.437254572,0.073776132,0.212831869,0.097797036,0.328338967,0.1746634,0.446288937,0.143472677
0.437254572,0.073776132,0.203627887,0.054532808,0.395194343,0.118115624,0.414743755,0.079244233
0.437254572,0.073776132,0.202911632,0.077562261,0.40378547,0.073435706,0.235008909,0.140626026
0.437254572,0.073776132,0.140539544,0.102628629,0.332529593,0.230270605,0.275093947,0.20701351
0.437254572,0.073776132,0.247701242,0.078126564,0.214200921,0.078844891,0.316628761,0.076072008
0.437254572,0.073776132,0.226971363,0.121941069,0.299572792,0.191144579,0.339078393,0.252099025
0.437254572,0.073776132,0.207438269,0.09287757,0.376850112,0.047102192,0.359146174,0.046541486
0.437254572,0.073776132,0.190788794,0.058651521,0.418511834,0.178239828,0.561504523,0.315742277
0.437254572,0.073776132,0.245759376,0.073131089,0.284146652,0.201287712,0.340166117,0.195475392
0.437254572,0.073776132,0.257421717,0.080811867,0.426397858,0.223066592,0.417908351,0.123976967
0.437254572,0.073776132,0.199970916,0.130394652,0.447029121,0.084387281,0.455019197,0.11515931
0.437254572,0.073776132,0.281484082,0.219453659,0.387540481,0.046731356,0.481175003,0.158749826
0.437254572,0.073776132,0.304790649,0.122205977,0.214293192,0.203704607,0.423523515,0.250723967
0.437254572,0.073776132,0.253659084,0.112956572,0.325687946,0.19828153,0.454074438,0.203063084
0.437254572,0.073776132,0.318123742,0.088596904,0.34414732,0.052131305,0.477482486,0.14694845
0.437254572,0.073776132,0.313333942,0.091959116,0.216265922,0.236138091,0.265414265,0.187599475
0.394554595,0.013389245,0.176939421,0.036549189,0.500642045,0.193349041,0.498181264,0.278427805
0.394554595,0.013389245,0.286824949,0.224241122,0.306991216,0.361390743,0.203852789,0.210350591
0.394554595,0.013389245,0.287154868,0.054413125,0.473211544,0.168851703,0.377064246,0.093209577
0.394554595,0.013389245,0.309609183,0.105584566,0.438147846,0.257672454,0.462447579,0.078634088
0.394554595,0.013389245,0.279666536,0.041240391,0.485815441,0.145084246,0.466309476,0.048920286
0.394554595,0.013389245,0.097654524,0.120432813,0.21645309,0.103196449,0.256238377,0.068601925
0.394554595,0.013389245,0.375756659,0.017322905,0.495817712,0.035533241,0.39424777,0.051315043
0.437254572,0.073776132,0.182674363,0.109081084,0.45850825,0.21309452,0.4797172,0.145072635
0.394554595,0.013389245,0.280763362,0.090787424,0.275749438,0.17122865,0.334230917,0.297973738
0.394554595,0.013389245,0.215379545,0.078962673,0.456258988,0.097979319,0.4057276,0.029695426
0.385086969,0,0.31821133,0.052461643,0.290017838,0.156793357,0.259133915,0.133974817
0.385086969,0,0.239250081,0.100357563,0.481592914,0.084431147,0.454033665,0.066299594
0.385086969,0,0.154602632,0.052143113,0.512181542,0.146865169,0.355062361,0.063479262
0.385086969,0,0.178117845,0.113754302,0.501243518,0.171234194,0.381039107,0.047933568
0.385086969,0,0.208403423,0.076705785,0.410373998,0.161638479,0.288448819,0.093012997
0.385086969,0,0.259016912,0.124992749,0.407183425,0.284499052,0.496865153,0.255220466
0.385086969,0,0.280650063,0.116315417,0.360372657,0.181707868,0.338585757,0.060467617
0.385086969,0,0.280515945,0.04552601,0.340473117,0.143999404,0.437337084,0.127227082
0.385086969,0,0.062141231,0.028352469,0.414967974,0.081555177,0.529845493,0.085577345
0.385086969,0,0.246549498,0.137582031,0.382607188,0.323413172,0.289526934,0.429715375
0.385086969,0,0.221685491,0.075090292,0.454005652,0.246715362,0.233724504,0.201719309
0.385086969,0,0.235541535,0.117850707,0.399501804,0.107902317,0.462706384,0.229610741
0.385086969,0,0.216002405,0.080880177,0.54560907,0.046042625,0.373285931,0.079460746
0.385086969,0,0.224061477,0.055517435,0.370173186,0.256482003,0.309446622,0.152456729
0.385086969,0,0.236633476,0.103894279,0.468927482,0.085871666,0.443384821,0.140257445
0.385086969,0,0.30272643,0.058249933,0.467286431,0.082927846,0.419869059,0.135876426
